Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",9,Franklin Unit,325 Franklin St,Buffalo-Tonawanda,14207-14150,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,Nazareth Evangelical Lutheran Church,265 Skillen Street,Buffalo,14207,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,Black Rock/Assumption Club,435 Amherst St,Buffalo,14207,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,International School PS 45,141 Hoyt St                  ,Buffalo,14213,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,Boys and Girls Clubs of the Northtowns of WNY,54 Riverdale Ave,BUFFALO,14207,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,2303 KENMORE AVENUE,BUFFALO,14207,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,Martin Luther King BPS #39,487 High St. ,Buffalo,14211,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,Bennett Park Montessori BPS #32,342 Clinton St. ,Buffalo,14204,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Northtowns Boys and Girls Club,54 Riverdale Ave,,Buffalo,14207,bgcnt.net,Gary Krasinski,716 873 9842,gkrasinski@bgcnt.net,Afterschool,"Youth development in 5 key core areas. Citizenship-Leadership, Educational, Health-Life skills, Arts, Sports-Fitness-recreation",1,School #82,230 Easton Ave,Buffalo,14215,"Bob O""Brocta",716 873 9842,robrocta@bgcnt.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-8pm,"School Year, Summer, School Breaks",ages 5-18,approx 100 per site,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",School-Aged Child Care (SACC),"Varies on location $5-$50. No one turned away, scholarships available ",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",for more information call 873 9842 x 209
Westminster Economic Development Initiative,436 Grant St. ,,Buffalo,14213,www.wedibuffalo.org,Ben Bissell,716-393-4088 ,info@wedi.org,ENERGY Program,"A caring environment where students gain self confidence by improving their English language skills.  ENERGY provides educational support with an emphasis on reading, writing, and speaking English.  The program serves Multi-Language Learners in 1st-6th grade who live on the West Side of Buffalo.  ",1,724 Delaware Ave.,,Buffalo,14209,Carol Greetham,716-507-8216,carol@wedibuffalo.org,"Academic Support/ Homework Help, Community Service/ Service Learning, English Language Learners (ELL), Leadership/ Mentorship","Tuesday, Wednesday, Thursday",Bus Pick up at home at approximately 4:00 p.m. and return by 7:00.  Program hours 4:30 - 6:30 p.m. ,School Year," 6-12  years old, English Language Learner, West Side Buffalo residents",25,"1st, 2nd, 3rd, 4th, 5th, 6th",Not Applicable,No cost.  Family participation encouraged. ,"To the program, Home from the program",Dinner,Special enrichment activities and summer outings are scheduled.  High School students may volunteer for community service hours. Volunteer training is provided. 
