address,condition,occupancy,comments,Occupied
"231 Minnesota Avenue, Buffalo, NY",2,1,This property could use a new paint job and some better landscaping. Pavement in front is cracked,1
"17 Highgate Avenue, Buffalo, NY",1,1,,1
"49 Minnesota Avenue, Buffalo, NY",3,2,This house is falling apart and requires immediate attention,0
"302 Minnesota Avenue, Buffalo, NY",2,2,This house needs a paint job and some residents,0
"270 Minnesota Avenue, Buffalo, NY",1,1,,1
"3053 Main Street, Buffalo, NY",2,1,,1
"3043 Main Street, Buffalo, NY",2,1,,1
"84 Minnesota Ave, Buffalo, NY",2,1,,1
"15 Minnesota Ave, Buffalo, NY",2,1,,1
"81 Minnesota Ave, Buffalo, NY",3,1,,1
"64 LaSalle Avenue, Buffalo, NY",1,1,,1
"101 LaSalle Avenue, Buffalo, NY",3,1,,1
"144 Minnesota Avenue, Buffalo, NY",3,1,,1
"111 Minnesota Avenue, Buffalo, NY",1,1,,1
"129 Minnesota Avenue, Buffalo, NY",1,1,,1
"162 LaSalle Ave, Buffalo, NY",1,1,,1
"176 LaSalle Ave, Buffalo, NY",2,1,,1
"189 LaSalle Ave, Buffalo, NY",2,1,,1
"197 LaSalle Ave, Buffalo, NY",1,1,,1
"3047 Main Street, Buffalo, NY",2,1,,1
"26 Minnesota Ave, Buffalo, NY",2,2,,0
"46 Minnesota Ave, Buffalo, NY",2,1,,1
"97 Minnesota Ave, Buffalo, NY",2,1,,1
"101 Minnesota Ave, Buffalo, NY",2,1,,1
"78 LaSalle Avenue, Buffalo, NY",2,1,,1
"114 LaSalle Avenue, Buffalo, NY",1,1,,1
"25 LaSalle Avenue, Buffalo, NY",2,1,,1
"83 LaSalle Avenue, Buffalo, NY",3,2,,0
"91 Minnesota Avenue, Buffalo, NY",3,2,,0
"174 Minnesota Avenue, Buffalo, NY",1,1,,1
"186 Minnesota Avenue, Buffalo, NY",2,1,,1
"137 Minnesota Avenue, Buffalo, NY",1,1,,1
"161 Minnesota Avenue, Buffalo, NY",1,1,,1
"130 LaSalle Ave, Buffalo, NY",1,1,,1
"134 LaSalle Ave, Buffalo, NY",1,1,,1
"142 LaSalle Ave, Buffalo, NY",3,1,,1
"208 LaSalle Ave, Buffalo, NY",1,1,,1
"177 LaSalle Ave, Buffalo, NY",2,1,,1
"193 LaSalle Ave, Buffalo, NY",2,1,,1
"229 LaSalle Ave, Buffalo, NY",1,1,,1
"220 Lisbon Ave, Buffalo, NY",2,1,,1
"272 Lisbon Ave, Buffalo, NY",2,1,,1
"283 Lisbon Ave, Buffalo, NY",2,1,,1
"291 Lisbon Ave, Buffalo, NY",3,1,,1
"238 Minnesota Ave, Buffalo, NY",3,1,,1
"242 Minnesota Ave, Buffalo, NY",1,1,,1
"254 Minnesota Ave, Buffalo, NY",2,1,,1
"270 Minnesota Ave, Buffalo, NY",1,1,,1
"290 Minnesota Ave, Buffalo, NY",1,1,,1
"287 Minnesota Ave, Buffalo, NY",1,1,,1
"291 Minnesota Ave, Buffalo, NY",1,1,,1
"20 Minnesota Ave, Buffalo, NY",2,1,,1
"91 LaSalle Avenue, Buffalo, NY",3,2,,0
"150 Minnesota Avenue, Buffalo, NY",2,1,,1
"158 LaSalle Ave, Buffalo, NY",2,1,,1
"185 LaSalle Ave, Buffalo, NY",1,1,,1
"201 LaSalle Ave, Buffalo, NY",1,1,,1
"225 LaSalle Ave, Buffalo, NY",2,1,,1
"193 Lisbon Ave, Buffalo, NY",1,1,,1
"279 Lisbon Ave, Buffalo, NY",1,1,,1
"246 Minnesota Ave, Buffalo, NY",2,1,,1
"30 Minnesota Ave, Buffalo, NY",2,1,,1
"50 Minnesota Ave, Buffalo, NY",1,1,,1
"74 Minnesota Ave, Buffalo, NY",1,1,,1
"21Minnesota Ave, Buffalo, NY",1,1,,1
"178 Minnesota Avenue, Buffalo, NY",2,1,,1
"140 LaSalle Ave, Buffalo, NY",2,1,,1
"204 LaSalle Ave, Buffalo, NY",2,1,,1
"204 Lisbon Ave, Buffalo, NY",1,1,,1
"226 Lisbon Ave, Buffalo, NY",1,1,,1
"228 Lisbon Ave, Buffalo, NY",2,1,,1
"234 Minnesota Ave, Buffalo, NY",2,1,,1
"266 Minnesota Ave, Buffalo, NY",2,1,,1
"30 Minnesota Ave, Buffalo, NY",2,1,,1
"42 Minnesota Ave, Buffalo, NY",2,1,,1
"66 Minnesota Ave, Buffalo, NY",3,1,,1
"92 Minnesota Ave, Buffalo, NY",2,1,,1
"100 Minnesota Ave, Buffalo, NY",1,1,,1
"21 Minnesota Ave, Buffalo, NY",1,1,,1
"60 LaSalle Avenue, Buffalo, NY",3,1,,1
"158 Minnesota Avenue, Buffalo, NY",2,1,,1
"198 Minnesota Avenue, Buffalo, NY",1,1,,1
"121 Minnesota Avenue, Buffalo, NY",2,1,,1
"129 Minnesota Avenue, Buffalo, NY",1,1,,1
"141 Minnesota Avenue, Buffalo, NY",2,1,,1
"220 LaSalle Ave, Buffalo, NY",2,1,,1
"211 LaSalle Ave, Buffalo, NY",2,1,,1
"216 Lisbon Ave, Buffalo, NY",2,1,,1
"238 Lisbon Ave, Buffalo, NY",2,1,,1
"246 Lisbon Ave, Buffalo, NY",2,1,,1
"260 Lisbon Ave, Buffalo, NY",2,1,,1
"226 Minnesota Ave, Buffalo, NY",2,1,,1
"274 Minnesota Ave, Buffalo, NY",3,1,,1
"314 Minnesota Ave, Buffalo, NY",3,1,,1
"241 Minnesota Ave, Buffalo, NY",2,1,,1
"269 Minnesota Ave, Buffalo, NY",1,1,,1
"32 Minnesota Ave, Buffalo, NY",2,1,,1
"58 Minnesota Ave, Buffalo, NY",1,1,,1
"72 Minnesota Ave, Buffalo, NY",1,1,,1
"33 Minnesota Ave, Buffalo, NY",2,1,,1
"49 Minnesota Ave, Buffalo, NY",3,2,,0
"69 Minnesota Ave, Buffalo, NY",3,1,,1
"70 LaSalle Avenue, Buffalo, NY",1,1,,1
"74 LaSalle Avenue, Buffalo, NY",2,1,,1
"29 LaSalle Avenue, Buffalo, NY",2,1,,1
"168 Minnesota Avenue, Buffalo, NY",2,1,,1
"190 Minnesota Avenue, Buffalo, NY",2,1,,1
"202 Minnesota Avenue, Buffalo, NY",1,1,,1
"109 Minnesota Avenue, Buffalo, NY",3,1,,1
