Community Sponsor,Garden Name,Street Address,City,State,Zip Code,Lot Size (ft2),Food Production (ft2),% food space,Hydrant Access,Ornamental,Food,Mixed,District,City Owned,Neighborhood,Year Established,School,Compost,Rain Barrels,Season demographic info collected,Number of Gardeners,Number of Renters,Number of Males,Number of Females,Foreign Born,Country of Origin,White,Black,Asian,Hispanic,Native American,Other,Languages Spoken,0-18,19-29,30-49,50-69,70+
Arnold Street Block Club,Arnold Street Community Garden,52 Arnold Street,Buffalo,NY,14213,1920,0,0,Yes,No,No,Yes,Niagara,Yes,West Side,2011,No,No,No,,,,,,,,,,,,,,,,,,,
Arnold Street Block Club,Arnold Street Community Garden,36 Parkdale Avenue,Buffalo,NY,14213,1140,0,0,No,No,No,No,Niagara,Yes,West Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Art Space,Art Space Community Garden,1070 Ellicott Street,Buffalo,NY,14209,4439,336,7.6,No,No,No,Yes,Ellicott,No,Cold Springs,2012,No,Yes,No,2013,8,,3,5,0,,1,,,,,,,,,,,
Asarese-Matters Community Center,Asarese-Matters Community Garden,40 Rees Street,Buffalo,NY,14213,,0,0,No,No,Yes,No,North,Yes,Black Rock,2011,No,No,No,,,,,,,,,,,,,,,,,,,
Atlantic-W Utica Block Club,W Utica Garden,244 West Utica Street,Buffalo,NY,14222,,0,,No,Yes,No,No,Niagara,Yes,Delaware District,2005,No,Yes,No,2013,6,,2,4,,,1,,,,,,,,,1,4,1
Beecher Street Block Club,7th and Penn Rose Garden,463 7th Street,Buffalo,NY,14201,2450,55,,Yes,No,No,Yes,Ellicott,Yes,Lower West Side,2007,No,No,No,,,,,,,,,,,,,,,,,,,
Beecher Street Block Club,Maryland Street Community Garden,259 Maryland Street,Buffalo,NY,14201,1787,0,,No,Yes,No,No,Ellicott,Yes,Lower West Side,2005ish,No,No,No,,,,,,,,,,,,,,,,,,,
Believe in Black Rock and Arise Ministries,Farmer's Garden Patch,104 Farmer Street,Buffalo,NY,14207,2000,254,4.4,Yes,No,No,Yes,North,Yes,Black Rock,2012,No,No,Yes,,,,,,,,,,,,,,,,,,,
Believe in Black Rock and Arise Ministries,Farmer's Garden Patch,108 Farmer Street,Buffalo,NY,14207,3801,254,4.4,Yes,No,No,Yes,North,Yes,Black Rock,,No,No,Yes,,,,,,,,,,,,,,,,,,,
Black Rock - Riverside Planning Alliance,Esser Avenue Garden,235 Esser Avenue,Buffalo,NY,14207,8801,463,5.3,Yes,No,No,Yes,North,No,Riverside,2013,No,No,Yes,,,,,,,,,,,,,,,,,,,
