Program,Category,Address,City,State,Zip Code,County,Website,Contact Person,Phone,Fax Number,Email,Age,Cost,Dates,Time,Criteria,Activities,Wheelchair Accessibility,Sponsors,Facebook,Numbers
Camp Crabapple,Camps (Day & Overnight),275 Alexander Avenue,Cheektowaga,NY,14211,Erie,,Amy McMahon,(716) 897-7205,,amcmahon@tocny.org#mailto:amcmahon@tocny.org#,4/14/2014,"Chktg res. $644/ 6 wks or $119/ wk, Non-res. $795/ 6 wks or $146/ wk",July - August (Monday - Friday),8:30 am - 3:30 pm,No one-on-one assistance available.,Six week program designed for youth with a developmental or physical disability. Wheelchair access and transportation is limited.,TRUE,"Cheektowaga Dept. of Parks, Recreation and Youth Services",,46
Drum 4 Health,"Music, Dance & Drama",,,,,Erie,www.drum4health.net#http://www.drum4health.net#,Carolyn Zimmerman,(716) 491-0031,,carolyn@drum4health.net#mailto:carolyn@drum4health.net#,"Kids of all ages, 2 - 102+",Varies,By appointment,Various,,Recreational music making / drum circles via a variety of drums and percussion instruments.,TRUE,,,106
Buffalo Niagara Music Therapy Services,"Music, Dance & Drama",,,,,Erie,www.bnmusictherapy.com#http://www.bnmusictherapy.com#,Elyse Kochmanski,(716) 243-2776,,ekochmanski@bnmusictherapy.com#mailto:ekochmanski@bnmusictherapy.com#,All ages,Varies,By appointment,Various,,Provides individual or group therapy and adaptive music lessons. They provide services in home and at their clinic location in Williamsville.,TRUE,,,106
Tops Cooking School,Tours & Classes,3980 Maple Road/N.Bailey,Amherst,NY,14226,Erie,www.topsmarkets.com#http://www.topsmarkets.com#,Grace Hanusin,(716) 515-2000,,cookingschool.t00049@topsmarkets.com#mailto:cookingschool.t00049@topsmarkets.com#,3+,Varies,By appointment,Various,"Learn more at www.topsmarlets.com go to ""Department"" then ""The Cooking School""","Hands on classes offered in state of the art Viking kitchens. Provide cooking classes and demonstrations to any age, taught by qualified Registered Dieticians. (Costs may be covered in part by local insurance).",FALSE,,,
Fun Night Out Recreation,Recreation Programs,1200 East & West Road,West Seneca,NY,14224,Erie,,Stephanie Speaker,(716) 783-0633,,stephaniespeaker@gmail.com#mailto:stephaniespeaker@gmail.com#,18+,Varies,Various,Various,For adults who live in group homes.,Activities and events in Western New York scheduled according to interests.,TRUE,,,81
Lewis Appaloosa Farm Tour *,Tours & Classes,,,,,,,Camille O'Reilly,(716) 741-9304,,,,,,,,,FALSE,,,
Buffalo Therapeutic Riding*,Horseback Riding,,,,,,,,,,,,,,,,,FALSE,,,
Parks Interpretive Programs*,Nature Preserves,P.O. Box 1132,Niagara Falls,NY,14303,Niagara,,Barry Virgilio,(716) 285-0516,,,,,,,,,FALSE,,,
Alleyway Theatre,Theatres,,,NY,,Erie,,,(716) 852-2600,,,,,,,,,FALSE,,,
BSC Performing Arts Center - Rockwell Hall,Theatres,1300 Elmwood Avenue,Buffalo,NY,14222,Erie,www.buffalostatepac.org#http://www.buffalostatepac.org#,,(716) 878-3005,,,,,,,,,FALSE,,,
Darien Lake Performing Arts,Theatres,9993 Alleghany Road,Darien Center,NY,14040,Genesee,,,(585) 599-4641,,,,,,,,,FALSE,,,
Irish Classical Theatre,Theatres,,,NY,,Erie,,,(716) 853-4282,,,,,,,,,FALSE,,,
Shea's Performing Arts Center,Theatres,646 Main Street,Buffalo,NY,14202,Erie,www.sheas.org#http://www.sheas.org#,,(716) 847-1410,,,,,,,,,FALSE,,,
Shakespeare in the Park,Theatres,,,NY,,Erie,,,(716) 876-7430,,,,,,,,,FALSE,,,
Summerfare Musical Theatre,Theatres,,,NY,,Erie,,,(716) 839-8540,,,,,,,,,FALSE,,,
Theatre of Youth,Theatres,,,NY,,Erie,,,(716) 884-4400,,,,,,,,,FALSE,,,
People and Places,Vacations,76 Riley Street,East Aurora,NY,14052,Erie,,,(716) 937-1813,,,,Varies,,,,,FALSE,,,
Search Beyond Adventures,Vacations,4603 Bloomington Avenue,Minneapolis,MN,55405,,,,(800) 800-9979,,,,Varies,,,,,FALSE,,,
"The Guided Tour, Inc.",Vacations,7900 Old York Road - Ste 111-B,Elkins Park,PA,19027,,www.guidedtour.com#http://www.guidedtour.com#,,(800) 783-5841,,gtour400@aol.com#mailto:gtour400@aol.com#,17+,Varies,,,,,FALSE,,,
"Tulip Travel, Inc.",Vacations,911 Old Liverpool Road,Liverpool,NY,13088,,www.tuliptravel.com#http://www.tuliptravel.com#,,(716) 461-4852,,,,Varies,,,,,FALSE,,,
Aktion Club,Clubs,,East Aurora,NY,,,,Don Bach,(716) 655-0195,,,Adults,$10 for the year,Various,Various,The Aktion Club is a community-service group for adults living with disabilities.,"It has fundraisers, community projects and takes time for fun activities.",FALSE,Kiwanis,,
Allegany State Park,New York State Parks,"2373 ASP, Route 1 - Ste 3",Salamanca,NY,14779,Cattaraugus,,,(716) 354-9121,,,,,,,,,FALSE,,,
Lake Erie State Park,New York State Parks,5905 Lake Road,Brocton,NY,14716,Chautauqua,,,(716) 792-9214,,,,,,,,,FALSE,,,
Letchworth State Park,New York State Parks,1 Letchworth State Park,Castile,NY,14427,Wyoming,,,(585) 493-3600,,,,,,,,,FALSE,,,
Evans,Recreation Departments,999 Sturgeon Point Road,Derby,NY,14047,,,,(716) 947-4452,,,,,,,,,FALSE,,,
Grand Island Parks & Recreation,Recreation Departments,3278 Whitehaven Road,Grand Island,NY,14072,Erie,,,(716) 773-9680,,,,,,,,,FALSE,,,
Hamburg Recreation Department,Recreation Departments,4540 Southwestern Blvd.,Hamburg,NY,14075,Erie,www.hamburg-youth-rec-seniors.com#http://www.hamburg-youth-rec-seniors.com#,,(716) 646-5154,,,,,,,,,FALSE,,,
Lackawanna Recreation & Parks Department,Recreation Departments,230 Martin Road,Lackawanna,NY,14218,Erie,,,(716) 827-6455,,,,,,,,,FALSE,,,
Olean Recreation Department,Recreation Departments,101 East State Street,Olean,NY,14760,Cattaraugus,,,(716) 376-5666,,,,,,,,,FALSE,,,
Olean Youth Board,Recreation Departments,101 East State Street,Olean,NY,14760,Cattaraugus,,,(716) 376-5645,,,,,,,,,FALSE,,,
Orchard Park Recreation Department,Recreation Departments,200 North Lake Drive,Orchard Park,NY,14127,Erie,,,(716) 662-6450,,,,,,,,,FALSE,,,
"Tonawanda Youth, Parks & Recreation Dept.",Recreation Departments,2440 Sheridan Drive,Tonawanda,NY,14150,Erie,,,(716) 831-1001,,,,,,,,,FALSE,,,
West Seneca Recreation Department,Recreation Departments,50 Legion Parkway,West Seneca,NY,14224,Erie,,,(716) 831-1001,,,,,,,,,FALSE,,,
Therapeutic Recreation Contact,Recreation Departments,"Gateway-Longview, Inc.",,NY,,Erie,,,(716) 558-3223,,slester@gateway-longview.org#mailto:slester@gateway-longview.org#,,,,,,,FALSE,,,
Amherst Youth & Recreation Department,Recreation Departments,1615 Amherst Manor Drive,Williamsville,NY,14221,Erie,,,(716) 433-7266 ext.1221,,,,,,,,,FALSE,,,
Aurora Dept. of Parks & Recreation,Recreation Departments,5 South Grove Street,East Aurora,NY,,Erie,,,(716) 652-8866,,,,,,,,,FALSE,,,
Cattaraugus County Youth Recreation,Recreation Departments,200 Erie Street,Little Valley,NY,14755,Cattaraugus,#http://www.cattco.org/youth-bureau/youth-bureau#,,(716) 938-2601,,,,,,,,,FALSE,,,
Cheektowaga Youth & Recreation,Recreation Departments,275 Alexander Avenue,Cheektowaga,NY,14211,Erie,,,(716) 897-7207,,,,,,,,,FALSE,,,
Buffalo Museum of Science,Museums,,Buffalo,NY,,Erie,,,(716) 896-5200,,,,,,,,,FALSE,,,
Museum od disABILITY History,Museums,,,NY,,Erie,,,(716) 629-3626,,,,,,,,,FALSE,,,
Genesee County Museum,Museums,,,NY,,Genesee,,,(585) 538-6822,,,,,,,,,FALSE,,,
Dunkirk Historical Museum,Museums,,Dunkirk,NY,,Chautauqua,,,(716) 366-3797,,,,,,,,,FALSE,,,
Barker Historial Museum,Museums,,Fredonia,NY,,Chautauqua,,,(716) 672-2114,,,,,,,,,FALSE,,,
Botanical Gardens,Nature Preserves,,Buffalo,NY,,Erie,,,(716) 696-3555,,,,,,,,,FALSE,,,
Beaver Meadows,Nature Preserves,1610 Welch Road,North Java,NY,14113,Wyoming,,,(585) 457-3228,,,,,,,,,FALSE,,,
Lewiston Art Park,Art,,Lewiston,NY,,Niagara,,,(800) 659-7275,,,,,,,,,FALSE,,,
Arts Council for Chautauqua,Art,,,NY,,Chautauqua,,,(716) 664-2465,,,,,,,,,FALSE,,,
Adams Art Gallery,Art,,,NY,,,,,(716) 366-7450,,,,,,,,,FALSE,,,
Burchfield Penney Center,Art,,,NY,,Erie,,,(716) 878-6011,,,,,,,,,FALSE,,,
Chautauqua Institute,Art,,,NY,,Chautauqua,,,(800) 836-ARTS,,,,,,,,,FALSE,,,
