Name of Group,Description,Category,Contact Person,Address,County,Support Group Phone Number,Email,Website,Meeting Times,Meeting Day of Each Month,On Going?
Adoptive Parents & Kids Support Groups,Adoptive parents come together & share common stories while supporting one another; while their adoptive children meet with other adoptive kids to help promote their social skills.,Adoption/Foster Care,Leah Rush,"North Buffalo Community Center, 151 Lawn Avenue, Buffalo, NY 14207",Erie,(716) 834-9413 ext. 211,,,5:30 pm-7:30 pm,2nd Wednesday,Yes
Adoptive Parents Support Group,Meet others who share the daily challenges & rewards of parenting adopted children & teens. Pre & post-adoptive parents welcome.,Adoption/Foster Care,Karen Kelley,"Hillside Children's Center, 131 Orchard Park Road, West Seneca, NY 14224",Erie,(716) 848-6419,,www.hillside.com,6:30 pm-8:30 pm,Last Tuesday,Yes
"Erie County Foster & Adoptive Parents Advisory Board, Inc.",Membership is open to all Erie County foster/adoptive parents to discuss issues & concerns & to improve communication. Child care provided with one week notice.,Adoption/Foster Care,,"478 Main Street, Room 501, Buffalo, NY 14202",Erie,(716) 858-1630,ecfapab@gmail.com,www.ecfapab.weebly.com,,,Yes
Adoption Resource Center Support Group,,Adoptive/Foster Care,Karen Kelley,"Hillside Children's Center, 70 Jewett Parkway, Buffalo, NY 14214",Erie,(716) 848-6419,kkelley@hillside.com,www.hillside.com,9:00 am-11:00 am,3rd Wednesday,Yes
Adoption Support and Precervation (ASAP) Group,,Adoptive/Foster Care,Jeff Ribbeck,"66 Stevens Street, Lockport, NY 14064",Niagara,(716) 439-5436,,,6:00 pm-8:00 pm,3rd Wednesday,Yes
Child & Family Support,"Offers support for families raising a child with emotional, behavioral or mental health challenges. Youth support group meets at the sametime in a separate room.",Behavior,,"Church of Latter Day Saints, 999 Delaware Avenue, Buffalo, NY 14209",Erie,(716) 886-1242 ext. 318,,www.eriemha.org,6:00 pm-7:30 pm,First Friday,Yes
Family Support Group,For families who have children with emotional or behavioral problems.,Behavior,Carolyn Vujnovic,"WNYCPC Community Services Buffalo Outpatient Center, 575 Alberta Drive, Suite 2, Amherst, NY 14226",Erie,(716) 677-7079,,www.eriemha.org,7:00 pm-9:00 pm,2nd & 4th Thursday,Yes
GLOW Family Support Program,"GLOW offers support, respite, advocacy, information & referral, newsletters, a library, etc. For families of children birth to age 21 with an emotional and/or behavioral challenge.",Behavior,,"Hillside Children's Center, 29 Liberty Street Suite 208, Batavia, NY 14020; 24 Main Street, Mt. Morris, NY 14150; 96 West Buffalo Street, Warsaw, NY 14569",Genesee; Livingston; Wyoming; Orleans,(585) 256-7500,info@hillside.com,www.hillside.com,24 hours a day,,Yes
Town of Tonawanda Concerned Parents Group,A group for parents of children with behavioral or family issues. You don't have to be a resident of the town to participate.,Behavior,,"Town of Tonawanda Police Department, 1835 Sheridan Drive, Tonawanda, NY 14223",Erie,(716) 879-6631,,,7:00 pm Thursday,,Yes
Coping with the Loss of a Child,,Bereavement,Donna Possenti,"Jewish Family Services, 2640 North Forest Road, Getzville, NY 14068",Erie,(716) 883-1914 ext. 311,,www.jfsbuffalo.org,,,Yes
"Western New York Perinatal Bereavement Network, Inc.","To assist the community in meeting the needs of people facing perinatal death: the death of a baby due to miscarriage, ectopic pregnancy, still birth, or early infant death.",Bereavement,Christine Scott,"30 South Cayuga Road - Lower, Williamsville, NY 14221",Erie,(716) 626-6363,Christine@wnypbn.org,www.wnypbn.org,Time Varies,3rd week of every month,Yes
Life Transitiona Center,Hosts many support groups for parents who have lost a child.,Bereavement,,"150 Bennett Road, Cheektowaga, NY 14227",Erie,(716) 836-6460,,,,,Yes
"Caring arms, Stillbirth, and Newborn Loss to One Year","For Parents, grandparents & other family members.",Bereavement,,"St. Gregory Ministerial Building, 1540 Maple Road, Williamsville, NY 14221",Erie,(716) 568-3777 or (716) 568-6653,,,7:00 pm-9:00 pm,2nd Tuesday,Yes
