Erie County Elementary School Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.nysed.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested
Akron Elementary School,Akron,K - 5,"47 Bloomingdale Ave., Akron, NY 14001",659,313,346,78,2,4,2,570,3,-,64,226,25,172,49,96,36,107,40,55,33,52,36,107,36,107,25,32,41,75,9,11,-,-,-,-,0,0,40,96,-,-,36,107,35,55,37,52,36,107,36,107,22,32,41,75,0,11,-,-,-,-,0,0,40,96,-,-
Alden Primary at Townline,Alden,K - 3,"11197 Broadway, Alden, NY 14004",473,241,232,4,1,8,1,457,2,-,56,147,23,87,49,96,34,112,38,56,30,56,-,111,34,112,22,32,39,80,-,1,-,1,-,1,0,0,-,109,-,-,43,112,34,56,52,56,-,111,43,112,34,32,46,80,-,1,-,1,-,1,0,0,-,109,-,-
Smallwood Dr School,Amherst,K - 5,"300 Smallwood Dr., Amherst, NY 14226",735,369,366,2,45,21,36,616,15,-,66,106,21,75,29,96,51,116,61,56,42,60,51,116,51,116,33,18,54,98,-,-,-,1,-,5,100,7,50,101,-,2,49,116,51,55,48,61,49,116,49,116,22,18,54,98,-,-,-,6,-,1,100,7,47,100,-,2
Windermere Blvd School,Amherst,PK - 5,"291 Windermere Blvd., Amherst, NY 14226",689,381,308,1,156,21,64,406,41,47,103,317,21,260,50,97,50,109,56,55,43,54,50,103,50,109,35,34,56,75,-,-,32,25,-,1,75,8,54,71,-,4,43,110,43,56,43,54,42,102,43,110,23,35,52,75,-,-,16,25,-,1,80,10,49,70,-,4
Bennett Park Montessori School,Buffalo,PK - 8,"342 Clinton Ave., Buffalo, NY 14204",572,294,278,12,389,33,2,120,16,-,138,444,18,388,32,93,18,56,22,27,14,29,18,56,18,56,5,40,50,16,-,1,10,39,-,4,-,1,50,10,-,1,13,56,15,27,10,29,13,56,13,56,5,40,31,16,-,1,8,39,-,4,-,1,30,10,-,1
Bilingual Center,Buffalo,PK - 8,"157 Elk St., Buffalo, NY 14210",447,227,220,3,40,298,8,93,5,218,97,402,27,367,14,90,0,49,0,25,0,24,0,22,0,49,-,46,-,3,-,1,-,2,0,36,-,1,-,9,0,0,13,54,15,27,11,27,27,22,13,54,-,50,-,4,-,1,-,2,7,41,-,1,-,9,0,0
Buffalo Elementary School of Tech,Buffalo,PK - 8,"414 S. Division St., Buffalo, NY 14204",526,277,249,2,312,33,124,50,5,184,87,505,26,476,12,91,8,48,13,24,4,24,11,28,8,48,-,45,-,3,-,1,10,20,-,2,12,17,-,7,-,1,4,55,4,26,3,29,4,28,4,55,2,50,20,5,-,1,5,22,-,2,5,20,-,9,-,1
Build Academy,Buffalo,PK - 8 ,"340 Fougeron St., Buffalo, NY 14211",459,242,217,2,421,12,2,10,12,-,112,445,23,409,12,90,0,50,0,18,0,32,0,50,0,50,-,49,-,1,0,,-,47,-,1,0,0,-,1,-,1,0,51,0,18,0,33,0,51,0,51,-,50,-,1,0,0,-,48,-,1,0,0,-,1,-,1
Community School #53 at #4,Buffalo,PK - 8,"425 S. Park Ave., Buffalo, NY 14220",386,195,191,1,329,27,1,23,5,-,77,366,24,338,9,90,0,29,0,22,0,7,0,29,0,29,-,27,-,2,0,0,-,27,-,1,0,0,-,1,0,0,0,29,0,22,0,7,0,29,0,29,-,27,-,2,0,0,-,27,-,1,0,0,-,1,0,0
D'Youville-Porter Campus,Buffalo,PK - 8,"255 Porter Ave., Buffalo, NY 14201",642,301,341,5,131,421,29,42,14,177,110,575,26,515,26,91,9,65,13,38,4,27,12,43,9,65,7,54,18,11,0,0,23,13,5,41,-,4,-,2,20,5,4,69,3,39,7,30,7,43,4,69,3,58,9,11,0,0,0,13,4,45,-,4,-,2,20,5
Discovery School,Buffalo,PK - 8,"911 Abbott Rd., Buffalo, NY 14220",531,257,274,6,42,43,3,424,13,-,101,226,27,201,36,95,30,64,34,38,23,26,30,64,30,64,21,28,36,36,-,1,13,8,-,7,-,2,27,45,-,1,41,64,39,38,42,26,41,64,41,64,29,28,50,36,-,1,25,8,-,7,-,2,36,45,-,1
