Erie County High School Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.nysed.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Grd 10 English,,,,,,,,,,,,,,,,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,#,%,#,%,#,#,#,#,#,#,#,#,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,All 2008 Cohort,4-yr Grad Rate (All 2008 Cohort),Econ Dis 2008 Cohort,4-yr Grad Rate (Econ Dis 2008 Cohort),Completers,Dropped-Out,HS Equivalency,Total Non-Completers,Four-Year,Two-Year,Other Post-Sec,Military,Employment
Akron High School,Akron,9 - 12,"47 Bloomingdale Ave., Akron, NY 14001",477,237,240,51,3,7,0,441,2,-,33,117,25,77,32,96,120,90,34,76,140,9,0,9,61,48,0,1,27
Alden Senior High School,Alden,9 - 12,"13190 Park St., Alden, NY 14004",582,317,265,2,6,5,4,564,1,-,79,155,21,103,53,96,151,96,31,94,128,16,0,16,48,50,3,4,20
Amherst Central High School,Amherst,9 - 12,"4301 Main St., Amherst, NY 14226",791,398,393,2,137,24,23,595,10,16,89,215,18,158,54,94,235,94,49,86,205,5,0,5,137,45,0,2,0
Alternative High School at 44,Buffalo ,7 - 12,"1369 Broadway, Buffalo, NY 14212",159,90,69,1,134,16,0,6,2,-,33,129,-,136,2,72,37,8,36,8,-,78,4,82,-,-,-,-,-
Bennett High School,Buffalo ,9 - 12,"2885 Main St., Buffalo, NY 14214",661,303,358,6,541,47,24,36,7,40,150,522,24,490,13,78,307,35,248,40,123,86,0,86,25,72,3,3,11
Buffalo Academy - Vis & Perf Arts,Buffalo ,5 - 12,"450 Masten Ave., Buffalo, NY 14209",804,246,558,9,499,117,10,161,8,7,122,551,24,471,61,91,121,68,92,66,94,19,0,19,53,30,0,2,3
Burgard Vocational High School,Buffalo ,9 - 12,"400 Kensington Ave., Buffalo, NY 14214",523,339,184,2,420,33,35,32,1,44,117,427,26,405,19,80,209,27,176,30,68,101,1,102,16,46,0,0,2
