Erie County Middle School Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.nysed.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested
Akron Middle School,Akron,6 - 8,"47 Bloomingdale Ave., Akron, NY 14001",343,181,162,50,2,1,1,289,0,-,37,101,21,78,25,97,39,106,39,56,38,50,39,106,39,106,26,34,44,72,-,16,-,1,0,0,-,-,42,89,-,-,25,106,20,55,29,51,25,106,25,106,21,34,26,72,-,16,-,1,0,0,-,-,26,89,-,-
Alden Middle School,Alden,4 - 8,"13250 Park St., Alden, NY 14004",684,336,348,1,10,3,5,664,1,-,107,199,25,129,67,96,48,127,55,62,42,65,48,127,48,127,47,32,48,95,-,1,-,1,-,-,-,2,48,122,-,1,30,123,30,63,30,60,30,123,30,123,23,30,32,93,-,1,-,1,-,-,-,2,30,118,-,1
Amherst Midle School,Amherst,6 - 8,"55 Kings Hwy., Amherst, NY 14226",657,332,325,1,97,20,41,488,10,14,75,167,20,131,36,97,54,205,64,101,43,104,-,202,54,205,35,54,60,151,-,1,29,28,45,11,38,13,62,148,-,4,43,206,48,102,38,104,-,203,43,206,24,54,50,152,-,1,18,28,36,11,31,13,50,149,-,4
Alternative High School at 44,Buffalo,7 - 12 ,"1369 Broadway, Buffalo, NY 14212",159,90,69,1,134,16,0,6,2,-,33,129,-,136,2,72,0,32,0,13,0,19,-,30,0,32,0,27,0,5,-,1,0,23,-,5,0,0,-,3,0,0,0,29,0,15,0,14,-,27,0,29,0,23,0,6,0,0,0,20,-,6,0,0,-,3,0,0
Bennett Park Montessori School ,Buffalo,PK - 8,"342 Clinton Ave., Buffalo, NY 14204",572,294,278,12,389,33,2,120,16,-,138,444,18,388,32,93,7,74,8,37,5,37,7,74,7,74,5,62,17,12,0,0,5,55,17,6,0,0,8,13,0,0,1,73,0,37,3,36,-,72,1,73,0,61,8,12,0,0,0,53,14,7,0,0,0,13,0,0
Bilingual Center,Buffalo,PK - 8,"157 Elk St., Buffalo, NY 14210",447,227,220,3,40,298,8,93,5,218,97,402,27,367,14,90,21,34,30,20,7,14,27,26,21,34,21,28,17,6,0,0,-,7,40,15,-,1,9,11,0,0,6,35,10,21,0,14,8,26,6,35,4,28,14,7,0,0,-,7,6,16,-,1,9,11,0,0
Buffalo Academy - Vis & Perf Arts,Buffalo,5 - 12 ,"450 Masten Ave., Buffalo, NY 14209",804,246,558,9,499,117,10,161,8,7,122,551,24,471,61,91,11,108,14,72,6,36,-,107,11,108,5,80,29,28,-,1,8,75,-,15,0,0,18,17,0,0,8,106,7,70,8,36,-,105,8,106,4,80,19,26,-,1,8,74,-,15,0,0,6,16,0,0
Buffalo Elementary School of Tech,Buffalo,PK - 8,"414 S. Division St., Buffalo, NY 14204",526,277,249,2,312,33,124,50,5,184,87,505,26,476,12,91,3,67,6,33,0,34,4,49,3,67,-,64,-,3,0,0,3,40,-,4,0,16,-,7,0,0,0,72,0,37,0,35,0,49,0,72,0,67,0,5,0,0,0,42,-,4,0,19,-,7,0,0
Build Academy,Buffalo,PK - 8,"340 Fougeron St., Buffalo, NY 14211",459,242,217,2,421,12,2,10,12,-,112,445,23,409,12,90,2,50,4,23,0,27,2,50,2,50,-,49,-,1,0,0,-,48,-,2,0,0,0,0,0,0,0,50,0,23,0,27,0,50,0,50,-,49,-,1,0,0,-,48,-,2,0,0,0,0,0,0
City Honors School at Fosdick-Masten Park,Buffalo,5 - 12 ,"186 E. North St., Buffalo, NY 14204",909,439,470,3,174,62,45,597,28,-,91,289,22,195,87,96,80,117,87,69,71,48,80,117,80,117,64,42,89,75,0,0,74,19,91,1,-,5,79,78,-,4,75,116,76,68,73,48,75,116,75,116,57,42,85,74,0,0,68,19,82,11,-,5,74,78,-,3
