ID,Item Type,Unavailable?,Status(es),Additional Image,Attachment,Categories,Condition,Daily Late Fee,Description,Image,Keywords,Name,Price to Purchase,Purchased?,Replacement Cost,Serial Number,Source / Supplier
1000,Chop Saw,,,,,"83,85,88",5,$1.00,"The Ryobi 14 Amp 10 in. Compound Mitre Saw is built around a heavy-duty motor that delivers up to 5,000 RPM, making it great for a host of tough cutting applications. Its carbide-tipped blade changes with a single wrench, and a dual-view bevel scale helps provide a clear line of sight from either side. It mitres to 45 degrees left and right with stops at 0-, 15-, 22.5-, 30- and 45 degrees, and it is equipped with an electric brake that halts the blade in seconds for added safety. A horizontal D-handle improves comfort and control.",/files/images/attribute_image6699184375579461303.jpg;/files/images/attribute_image6699184375579461303.jpg;/files/images/attribute_thumbnail6989354208504992075.jpg,"chop saw, power saw, miter saw, compound miter",Ryobi 14-Amp 10 in. Compound Miter Saw,,Y,,,Home Depot
1001,Chop Saw,,,,,"83,85,88",5,$1.00,"The RIDGID 15 Amp 10 in. Compound Mitre Saw with Laser Alignment is designed to handle a wide variety of highly difficult cuts. The adjustable Exactline laser system lets you easily align the blade with the cut. The Repeat-A-Cut fence can be marked for repetitive cuts, and the sliding left fence supports taller material. The saw features an extended capacity of 0 - 48 degrees of bevel and 0 - 47 degrees of mitre range.",/files/images/attribute_image5506238430473056142.jpg;/files/images/attribute_image5506238430473056142.jpg;/files/images/attribute_thumbnail3240729536335196030.jpg,"chop saw, saw, miter saw, compound miter",RIDGID 15 Amp 10 in. Compound Miter Saw,,Y,,,Home Depot
1002,Cordless Drills,,,,,"83,85,88",5,$1.00,"The Ryobi 1/2 in. 18-Volt Cordless Drill Kit includes a 1/2 in. single-sleeve keyless chuck with spindle lock for easy bit changing and 2-speed transmission and 24-position clutch for high-torque applications. The drill features a 1,600 RPM speed with variable speed settings to accommodate each job you tackle.",/files/images/attribute_image8462710275253651521.jpg;/files/images/attribute_image8462710275253651521.jpg;/files/images/attribute_thumbnail4853124278348963820.jpg,"drill, cordless drill",Ryobi 1/2 in. 18-Volt Cordless Drill,,,,,Donation
1003,Cordless Drills,,,,,"83,85,88",5,$1.00,"The Ryobi 1/2 in. 18-Volt Cordless Drill Kit includes a 1/2 in. single-sleeve keyless chuck with spindle lock for easy bit changing and 2-speed transmission and 24-position clutch for high-torque applications. The drill features a 1,600 RPM speed with variable speed settings to accommodate each job you tackle.",/files/images/attribute_image1544476902595973920.jpg;/files/images/attribute_image1544476902595973920.jpg;/files/images/attribute_thumbnail9177660657604360939.jpg,"drill, cordless drill",Ryobi 1/2 in. 18-Volt Cordless Drill,,Y,,,Home Depot
1004,Cordless Drills,,,,,"83,85,88",5,$1.00,"The Ryobi ONE+ 1/2 in. Cordless Hammer Drill features a variable 2-speed transmission for precision and versatility and delivers up to 1,500 RPM and 19,500 BPM for powerful performance. Its 24-position clutch handles high-torque applications, and the clutch override allows quick mode changes from drilling to driving. The Gripzone overmold enhances user comfort, and the Magtray magnetic holder accommodates screws and bits.",/files/images/attribute_image799357203771114598.jpg;/files/images/attribute_image799357203771114598.jpg;/files/images/attribute_thumbnail8989390255056827856.jpg,"drill, cordless drill, hammer drill",Ryobi 1/2 in. 18-Volt Cordless Hammer Drill,,Y,,,Home Depot
1005,Cordless Drills,,,,,"83,85,88",4,$1.00,,/files/images/attribute_image6650823937936287129.jpg;/files/images/attribute_image6650823937936287129.jpg;/files/images/attribute_thumbnail1669660475859876717.jpg,"drill, cordless drill",Black & Decker Fire Storm 12-Volt Cordless Drill,,,,,Donation
1006,Cordless Drills,,,,,"83,85,88",4,$1.00,,/files/images/attribute_image3395527130686326720.jpg;/files/images/attribute_image3395527130686326720.jpg;/files/images/attribute_thumbnail4877988657320124194.jpg,"drill, cordless drill, hammer drill",Milwaukee 1/2 in. 14.4-Volt Cordless Hammer Drill,,,,,Donation
1007,Jig Saws,,,,,"83,85,88",5,$1.00,"The RIDGID Fuego 3 Amp Compact Jig Saw features a powerful 3 Amp motor with a planetary gear set for low motor vibration for smooth cuts and 3,000 SPM for fast cutting. The jig saw creates bevel cuts of up to 45 degrees, while the dual debris management system directs dust and debris either away from the cut line to make it easy to see the cut line as you work or toward the collection system to help keep your work area clean.",/files/images/attribute_image1444835671440751692.jpg;/files/images/attribute_image1444835671440751692.jpg;/files/images/attribute_thumbnail5767899949958367911.jpg,"jig saw, saw",RIDGID Fuego 3-Amp Compact Jig Saw,,Y,,,Home Depot
1008,Jig Saws,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image4000262494055736235.jpg;/files/images/attribute_image4000262494055736235.jpg;/files/images/attribute_thumbnail6459471275248658938.jpg,"jig saw, saw",Black & Decker Two Speed Jig Saw,,,,,Donation
1009,Jig Saws,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image2213106032049340642.jpg;/files/images/attribute_image2213106032049340642.jpg;/files/images/attribute_thumbnail5860182251990602026.jpg,"jig saw, saw",Black & Decker Variable Speed Jig Saw,,,,,Donation
